"CRASH_ERR_CD","CRASH_ERR_LONG_DESC","CRASH_ERR_MED_DESC","CRASH_ERR_SHORT_DESC","CRASH_ERR_PARTIC_VALID_FLG","CRASH_ERR_TERMNT_DT","LAST_UD_DT","LAST_UD_USER_ID"
"055","Crossing at intersection, traffic signal present","X-INT W/ SGNL","X W/SGNL  ","True","","2012-04-04 08:44:39","Hwye85p "
"056","Crossing at intersection - diagonally","X-INT DIAGNL","DIAGONAL  ","True","","2002-03-20 00:00:00","CONVERT "
"057","Crossing between intersections","X-BTWN INTER","BTWN INT  ","True","","2002-03-20 00:00:00","CONVERT "
"059","Walking, running, riding, etc., on shoulder WITH traffic","W SHLD W/TRAF","W/TRAF-S  ","True","","2002-03-20 00:00:00","CONVERT "
"060","Walking, running, riding, etc., on shoulder FACING traffic","W SHLD A/TRAF","A/TRAF-S  ","True","","2002-03-20 00:00:00","CONVERT "
"061","Walking, running, riding, etc., on pavement WITH traffic","W PAVE W/TRAF","W/TRAF-P  ","True","","2002-03-20 00:00:00","CONVERT "
"062","Walking, running, riding, etc., on pavement FACING traffic","W PAVE A/TRAF","A/TRAF-P  ","True","","2002-03-20 00:00:00","CONVERT "
"063","Playing in street or road","PLAY IN RDWY","PLAYINRD  ","True","","2002-03-20 00:00:00","CONVERT "
"064","Pushing or working on vehicle in road or on shoulder","PUSH MV IN RD","PUSH MV   ","True","","2002-03-20 00:00:00","CONVERT "
"065","Working in roadway or along shoulder","WORK IN RD","WORK IN RD","True","","2015-11-12 16:21:20","Hwye85p "
"070","Standing or lying in roadway","LYING IN RD","LAY ON RD ","True","","2015-11-12 16:21:20","Hwye85p "
"071","Improper use of traffic lane by non-motorist","N-M IMP USE","NM IMP USE","True","","2014-08-19 15:24:59","hwye85p "
"073","Eluding / Attempt to elude","ELUDING","ELUDING   ","True","","2014-08-19 15:26:58","Hwye85p "
"079","Failed to negotiate a curve","FAIL NEG CURV","F NEG CURV","True","","2014-08-20 14:44:53","Hwye85p "
"080","Failed to maintain lane","F MAINT LANE","FAIL LN   ","True","","2002-03-20 00:00:00","CONVERT "
"081","Ran off road","RAN OFF RD","OFF RD    ","True","","2002-03-20 00:00:00","CONVERT "
"082","Driver misjudged clearance","MISJUDGE CLR","NO CLEAR  ","True","","2002-03-20 00:00:00","CONVERT "
"083","Over-correcting","OVERSTEER","OVRSTEER  ","True","","2014-11-13 14:24:47","Hwye85p "
"084","Code not in use","NOT USED","NOT USED  ","True","1984-12-31 00:00:00","2006-09-13 10:54:13","isd849  "
"085","Overloading or improper loading of vehicle with cargo or passengers","OVERLOAD","OVRLOAD   ","True","","2002-09-12 00:00:00","CONVERT "
"097","Unable to determine which driver disregarded traffic control device ","UNA DISRG TCD","UNA DIS TC","True","","2003-08-02 00:00:00","ISCO866 "
