"LookupTableName","LookupSql"
"IMPCT_LOC","SELECT IMPCT_LOC_CD, IMPCT_LOC_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM IMPCT_LOC"
"INJ_SVRTY","SELECT INJ_SVRTY_CD, INJ_SVRTY_LONG_DESC, INJ_SVRTY_MED_DESC, INJ_SVRTY_SHORT_DESC, INJ_SVRTY_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM INJ_SVRTY"
"INVSTG_AGY","SELECT INVSTG_AGY_CD, INVSTG_AGY_LONG_DESC, INVSTG_AGY_SHORT_DESC, INVSTG_AGY_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM INVSTG_AGY"
"ISECT_TYP","SELECT ISECT_TYP_CD, ISECT_TYP_SHORT_DESC, ISECT_TYP_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM ISECT_TYP"
"JRSDCT_GRP","SELECT JRSDCT_GRP_CD, JRSDCT_GRP_LONG_DESC, JRSDCT_GRP_MED_DESC, JRSDCT_GRP_SHORT_DESC, JRSDCT_GRP_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM JRSDCT_GRP"
"LGT_COND","SELECT LGT_COND_CD, LGT_COND_LONG_DESC, LGT_COND_MED_DESC, LGT_COND_SHORT_DESC, LGT_COND_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM LGT_COND"
"MEDN_TYP","SELECT MEDN_TYP_CD, MEDN_TYP_LONG_DESC, MEDN_TYP_SHORT_DESC, MEDN_TYP_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM MEDN_TYP"
"MLGE_TYP","SELECT MLGE_TYP_CD, MLGE_TYP_LONG_DESC, MLGE_TYP_MED_DESC, MLGE_TYP_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID, MLGE_TYP_SHORT_DESC FROM MLGE_TYP"
"MVMNT","SELECT MVMNT_CD, MVMNT_LONG_DESC, MVMNT_MED_DESC, MVMNT_SHORT_DESC, MVMNT_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM MVMNT"
"NON_MOTRST_LOC","SELECT NON_MOTRST_LOC_CD, NON_MOTRST_LOC_LONG_DESC, NON_MOTRST_LOC_MED_DESC, NON_MOTRST_LOC_SHORT_DESC, NON_MOTRST_LOC_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM NON_MOTRST_LOC"
"PARTIC_TYP","SELECT PARTIC_TYP_CD, PARTIC_TYP_LONG_DESC, PARTIC_TYP_MED_DESC, PARTIC_TYP_SHORT_DESC, PARTIC_TYP_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM PARTIC_TYP"
"POP_RNG","SELECT POP_RNG_CD, POP_RNG_MED_DESC, POP_RNG_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM POP_RNG"
"RD_CHAR","SELECT RD_CHAR_CD, RD_CHAR_LONG_DESC, RD_CHAR_MED_DESC, RD_CHAR_SHORT_DESC, RD_CHAR_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM RD_CHAR"
"RD_CNTL","SELECT RD_CNTL_CD, RD_CNTL_MED_DESC, RD_CNTL_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID, RD_CNTL_LONG_DESC FROM RD_CNTL"
"RD_SURF_COND","SELECT RD_SURF_COND_CD, RD_SURF_MED_DESC, RD_SURF_SHORT_DESC, RD_SURF_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM RD_SURF_COND"
"RDWY","SELECT RDWY_NO, RDWY_DESC, RDWY_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM RDWY"
"RTE","SELECT RTE_TYP_CD, RTE_ID, RTE_NM, RTE_HIER_NO, RTE_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM RTE"
"SEX","SELECT SEX_CD, SEX_DESC, SEX_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM SEX"
"SFTY_EQUIP_USE","SELECT SFTY_EQUIP_USE_CD, SFTY_EQUIP_USE_LONG_DESC, SFTY_EQUIP_USE_MED_DESC, SFTY_EQUIP_USE_SHORT_DESC, SFTY_EQUIP_USE_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM SFTY_EQUIP_USE"
"SPECL_JRSDCT","SELECT SPECL_JRSDCT_ID, JRSDCT_GRP_CD, SPECL_JRSDCT_LONG_DESC, SPECL_JRSDCT_MED_DESC, SPECL_JRSDCT_SHORT_DESC, SPECL_JRSDCT_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM SPECL_JRSDCT"
"TRAF_CNTL_DEVICE","SELECT TRAF_CNTL_DEVICE_CD, TRAF_CNTL_DEVICE_LONG_DESC, TRAF_CNTL_DEVICE_SHORT_DESC, TRAF_CNTL_DEVICE_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM TRAF_CNTL_DEVICE"
"URB_AREA","SELECT URB_AREA_CD, URB_AREA_LONG_NM, URB_AREA_SHORT_NM, URB_AREA_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM URB_AREA"
"URB_AREA_FIPS_HIST","SELECT URB_AREA_CD, URB_AREA_HIST_START_YR_NO, URB_AREA_HIST_TERMNT_YR_NO, FIPS_URB_AREA_ID, LAST_UD_DT, LAST_UD_USER_ID FROM URB_AREA_FIPS_HIST"
"VHCL_OWNSHP","SELECT VHCL_OWNSHP_CD, VHCL_OWNSHP_LONG_DESC, VHCL_OWNSHP_SHORT_DESC, VHCL_OWNSHP_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM VHCL_OWNSHP"
"VHCL_TYP","SELECT VHCL_TYP_CD, VHCL_TYP_LONG_DESC, VHCL_TYP_SHORT_DESC, VHCL_TYP_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM VHCL_TYP"
"VHCL_USE","SELECT VHCL_USE_CD, VHCL_USE_LONG_DESC, VHCL_USE_SHORT_DESC, VHCL_USE_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM VHCL_USE"
"WTHR_COND","SELECT WTHR_COND_CD, WTHR_COND_LONG_DESC, WTHR_COND_MED_DESC, WTHR_COND_SHORT_DESC, WTHR_COND_TERMNT_DT, LAST_UD_DT, LAST_UD_USER_ID FROM WTHR_COND"
